Item,Reference(s),Value,Quantity,Digi-Key PN,Mfg.,Mfg. PN,Footprint,Status,Qty to buy,Cost,Total Cost
1,C101,10uF,1,1276-1804-1-ND,Samsung,CL31B106KAHNNNE,,Buy,3,0.26, $0.78 
2,C102,1uF,1,1276-1838-1-ND,Samsung,CL31B105KCHNNNE,,Buy,3,0.32, $0.96 
3,D101,ZENER,1,BZT585B18T-7DICT-ND,Diodes Inc.,BZT585B18T-7,,Buy,3,0.24, $0.72 
4,F101,FUSEHOLDER,1,732-11372-ND,Wurth Electronics,6.96103E+11,,Buy,3,1.18, $3.54 
5,F102 F103,1A,2,507-2046-2-ND,Bel Fuse,0679H1000-05,,Buy,8,0.13, $1.04 
6,F105,8A,1,507-1216-ND,Bel Fuse,5HT 8-R,,Buy,6,0.29, $1.74 
7,J101,CONN_01X06,1,277-2427-ND,Phoenix,1844252,,Buy,2,2.51, $5.02 
8,J104,,1,277-6439-ND,Phoenix,1862894,,Buy,3,6.55, $19.65 
9,J102 J103,CONN_01X02,2,277-6570-ND,Phoenix,1923869,,Buy,4,0.7, $2.80 
10,J105 J106,,2,277-14370-ND,Phoenix,1912401,,Buy,5,2.2, $11.00 
11,Q102,AOB290L,1,785-1329-1-ND,Alpha & Omega,AOB290L,,Buy,2,3.58, $7.16 
12,R115,0,1,,,,1206,Buy,3,, $-   
13,R103,0.001,1,WSRA-.001CT-ND,Vishay Dale,WSR21L000FEA,,Buy,1,1.67, $1.67 
14,R116,1k,1,CRM2512-JW-102ELFCT-ND,Bourns,CRM2512-JW-102ELF,,Buy,3,0.37, $1.11 
15,U101,LT3060,1,LT3060ETS8-15#TRMPBFCT-ND,Linear Technology,LT3060ETS8-15#TRMPBF,,Buy,4,3.01, $12.04 
16,U201,555,1,LMC555CMX/NOPBCT-ND,Texas Instruments,LMC555CMX/NOPB,,Buy,4,1.01, $4.04 
17,U301,LM321,1,LM321MFX/NOPBCT-ND,Texas Instruments,LM321MFX/NOPB,,Buy,4,0.57, $2.28 
18,C_BMS,82uF,1,399-14163-ND,,,,Buy,2,11.06, $22.12 