Item,Reference(s),References (trunc),Value,Quantity,Quantity (x1.5),DigiKey PN,Mfg.,Mfg. PN
1,C101,C101,10uF,1,2,311-2007-1-ND,Yageo,CC1206ZRY5V6BB106
2,D101,D101,RED,1,2,754-1940-1-ND,Kingbright,APT3216LSECK/J3-PRV
3,J101 J103 J104 J105 J106 J107 J108 J109 J110 J111 J112 J113,J101 J103 J104 J105 ,CONN_01X02,12,18,277-2416-ND,Phoenix,1844210
4,J102,J102,CONN_01X04,1,2,277-2419-ND,Phoenix,1844236
5,J114 J115 J116 J117,J114 J115 J116 J117,MOUNTING_HOLE,4,6,,,
6,Q201,Q201,NFET,1,2,BSS123NCT-ND,Fairchild,BSS123
7,R101 R301 R401 R501 R601 R701,R101 R301 R401 R501 ,910,6,9,311-910FRCT-ND,Yageo,RC1206FR-07910RL
8,R102,R102,10k,1,2,311-10KERCT-ND,Yageo,RC1206JR-0710KL
9,R201,R201,1M,1,2,311-1.0MERCT-ND,Yageo,RC1206JR-071ML
10,U101,U101,LM2936HV,1,2,LM2936HVMAX-5.0/NOPBCT-ND,Texas Instruments,LM2936HVMAX-5.0/NOPB
11,U301 U401 U501 U601 U701,U301 U401 U501 U601 ,SSR,5,8,VO14642AABCT-ND,Vishay,VO14642AABTR