Item,Reference(s),References (trunc),Value,Quantity,Quant (x1.5),DigiKey PN,Mfg.,Mfg. PN
1,D1001 D1101 D1201 D1301 D1401 D1501 D1601 D1701 D201 D301 D401 D501 D601 D701 D801 D901,D1001 D1101 ,5.6V,16,24,MMSZ5232B-FDICT-ND,Diodes,MMSZ5232B-7-F
2,D1002 D1102 D1202 D1302 D1402 D1502 D1602 D1702 D202 D302 D402 D502 D602 D702 D802 D902,D1002 D1102 ,LED,16,24,754-1939-1-ND,Kingbright,APT2012LZGCK
3,J101 J102 J103 J104 J105 J106 J107 J108 J109 J110 J111 J112 J113 J114 J115 J116 J117 J118 J119 J120 J121 J122 J123 J124 J125 J126 J127 J128 J129 J130 J131 J132 J134,J101 J102 J1,CONN_01X02,33,50,277-2416-ND,Phoenix,1844210
4,J133,J133,CONN_01X16,1,2,277-6211-ND,Phoenix,1844359
5,J135 J136 J137 J138,J135 J136 J1,MOUNTING_HOLE,4,6,,,
6,JP101 JP102 JP103 JP104 JP105 JP106 JP107 JP108 JP109 JP110 JP111 JP112 JP113 JP114 JP115,JP101 JP102 ,JUMPER,15,23,RMCF2512ZT0R00CT-ND,Stackpole,RMCF2512ZT0R00
7,Q1001 Q1101 Q1201 Q1301 Q1401 Q1501 Q1601 Q1701 Q201 Q301 Q401 Q501 Q601 Q701 Q801 Q901,Q1001 Q1101 ,MMBT2222ALT1G,16,24,MMBT2222ALT1GOSCT-ND,ON Semi,MMBT2222ALT1G
8,R1001 R1101 R1201 R1301 R1401 R1501 R1601 R1701 R201 R301 R401 R501 R601 R701 R801 R901,R1001 R1101 ,10k,16,24,311-10.0KFRCT-ND,Yageo,RC1206FR-0710KL
9,R1002 R1102 R1202 R1302 R1402 R1502 R1602 R1702 R202 R302 R402 R502 R602 R702 R802 R902,R1002 R1102 ,1M,16,24,311-1.0MERCT-ND,Yageo,RC1206JR-071ML
10,R1003 R1004 R1103 R1104 R1203 R1204 R1303 R1304 R1403 R1404 R1503 R1504 R1603 R1604 R1703 R1704 R203 R204 R303 R304 R403 R404 R503 R504 R603 R604 R703 R704 R803 R804 R903 R904,R1003 R1004 ,910,32,48,311-910FRCT-ND,Yageo,RC1206FR-07910RL
11,R101 R102 R103 R104 R105 R106 R107 R108 R109 R110 R111 R112 R113 R114 R115 R116,R101 R102 R1,0,16,24,311-0.0ERCT-ND,Yageo,RC1206JR-070RL
12,U1001 U1101 U1201 U1301 U1401 U1501 U1601 U1701 U201 U301 U401 U501 U601 U701 U801 U901,U1001 U1101 ,SSR,16,24,VO14642AABCT-ND,Vishay,VO14642AABTR